Features,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
SLC25A32,2.5076,-0.2346,-1.1601,-0.866,-1.2361,0.1092,-0.1758,-0.0447,0.3473,0.0992
DUSP1,0.2375,0.8538,1.0966,0.6597,1.1687,-0.3247,1.8647,1.3672,1.2579,1.9997
SRP54,0.2726,-0.7471,-0.5399,0.248,0.9049,0.9963,-0.0369,0.6931,0.8014,0.9196
OGFR,1.8288,0.0727,0.6243,-0.6188,-1.5472,-0.9999,-1.4141,1.1519,-1.052,-0.5876
BC141517,-0.4113,0.7981,-0.8771,-0.5084,-0.4117,-0.7073,-0.4672,-0.5342,-0.505,0.4712
NAP1L5,-1.7749,-1.2517,0.992,-0.1957,1.1072,0.6513,1.0146,0.1765,-0.9667,1.4141
BC040898,-1.0089,-0.2898,-0.446,1.5121,0.8171,-0.1967,0.1356,-1.5566,0.6319,-0.8612
RNASE10,-0.4918,1.0922,-0.3205,0.4127,-0.5076,-0.5706,-0.1511,-1.2759,-0.3486,-1.8105
ST7,-0.0854,0.4002,-0.2481,0.0754,0.5872,2.5105,-0.3808,0.1927,0.5365,0.5081
SERPINB4,3.2588,0.3362,-0.5063,-0.3702,0.1168,0.5305,-0.1928,-0.0541,-0.4502,0.1979
LOC389300,-1.0054,-0.5311,-0.163,0.0373,-0.6365,-1.3717,-1.1804,0.3156,-0.3566,-1.3399
LOC643623,0.3261,-0.6775,-0.5217,-0.0479,-0.5357,-1.904,0.2061,-1.7274,0.5407,1.1291
MEX3C,-0.0956,-1.0811,-0.9673,0.0788,0.7417,-0.6845,-0.6643,-0.2269,0.2724,-1.2236
PDCD2,-0.5137,-0.3194,0.5602,-0.9742,0.7059,-0.0692,0.1914,-0.8061,0.6569,1.2583
C1orf180,-0.2571,1.5711,-1.4963,-0.6513,-0.1832,0.0035,-0.9712,-0.8856,0.4527,-0.9342
MYBPH,-1.4484,-1.2201,0.6741,0.1501,-0.3603,0.8503,-0.9674,-0.4788,0.8417,1.3201
ZNF516,-0.3017,-1.3868,0.447,0.2925,-0.7152,-0.4504,-0.4772,-1.5196,0.3208,0.3382
CB160856,-0.6441,0.773,-0.3402,0.1449,0.7484,-0.9021,-0.5138,0.6993,-0.2511,0.587
RASIP1,-1.575,-0.56,-0.4558,-0.869,-1.1224,-0.1264,0.6264,-1.0357,-0.5848,1.7464
LOC340074,0.1555,-0.4603,-0.3136,-1.8395,0.9822,0.3358,-0.1488,-0.1992,-1.0771,-1.4122
ZSCAN5B,-0.5464,0.5951,0.2386,1.021,-0.5325,-0.754,1.108,0.1784,-1.624,-0.1733
AI971367,-0.5402,-0.4358,-0.3192,-0.8407,-0.2908,-0.6297,-0.1287,-0.9666,2.1074,-0.5018
SYCE2,1.026,-0.5555,-0.2765,0.5326,-1.0342,0.1825,-0.1813,1.2247,0.5977,1.1432
SPACA1,-1.6725,0.3808,-0.5068,-0.7489,0.8388,0.8169,0.5799,-0.466,-0.033,-0.6999
AI970822,-0.7221,-0.769,0.9784,-0.1937,0.701,0.9962,-1.0186,-0.1011,-2.0336,0.0833
METTL3,-0.7292,-0.9267,-0.7805,0.1923,1.8024,0.2894,1.7142,0.735,0.2715,1.0247
CASKIN1,0.6753,0.8878,-0.1868,0.1975,1.2668,1.616,0.9123,1.464,1.0545,1.3641
ATP4B,0.6703,0.2746,-0.1758,1.7405,-0.4409,-0.6492,-0.3216,0.4773,0.1355,0.5657
ZSWIM2,0.8048,1.3173,-0.3711,-0.1921,-0.9042,-0.4851,-0.6651,-1.5835,-0.3243,0.7118
ATP6V1E1,0.5604,-0.7292,-0.0114,-2.238,-0.5436,-0.1263,0.9451,1.8637,-0.0634,-0.0646
FOXK1,-1.0238,1.0822,-0.1622,-1.9074,0.2392,-1.3001,0.8239,-2.1865,0.455,-0.1999
AW118645,-0.0565,-0.9868,0.8521,0.0277,-1.0742,0.8577,0.0555,-0.7504,-0.1162,0.1715
FLJ43763,0.7766,-2.6325,0.237,-0.5941,0.2021,-1.0338,-0.7485,-0.2838,-2.37,0.0923
MFN1,-0.8624,1.5895,0.2351,0.8804,-0.0078,-0.1616,-0.5929,1.4705,0.601,0.6532
ARRB1,0.1064,-1.0561,0.0602,-2.0683,-1.4277,-0.7928,0.9193,-1.7769,-0.7488,0.8633
TAC1,-0.3351,-0.3433,0.1782,1.3304,-0.1617,-0.3842,0.6956,0.1971,0.1689,0.2935
FAM82A1,-0.4267,2.4038,0.4668,1.4124,0.0437,-0.5428,-0.5726,-0.7667,0.371,0.5275
AW573061,0.0052,-0.0978,0.9046,-0.7618,1.4223,-0.9034,-0.0555,-1.4555,-0.3969,-1.2307
KIAA2026,-0.3927,-0.9684,-0.2419,0.4043,0.9602,-0.2054,1.9257,-0.1977,2.7234,0.5463
ZNF761,0.49,-0.0661,-0.3813,-0.1627,2.0992,-0.9996,-1.0092,0.0097,-0.8515,-0.7
AI344125,-1.0172,-0.4765,-0.6055,-0.7356,0.3211,-0.3598,0.107,0.4329,0.7996,0.1221
CA398166,-0.6658,1.3365,-0.5884,-0.8388,-0.7668,-0.0595,0.4528,0.0301,-0.417,-0.1998
IER3IP1,-0.4815,-1.3455,-0.3077,-0.0439,1.2446,0.4868,-1.5609,0.9268,-0.0166,-1.0196
PYCARD,0.2176,-0.9416,0.5262,0.908,0.3361,0.7476,-0.3432,0.1106,0.6973,0.2189
DNAH2,-0.8521,0.5429,0.0467,-0.0978,-0.4436,-0.8427,0.1426,-1.0868,0.7041,-0.2226
BQ013048,-0.7761,-0.0784,0.4464,0.8095,-1.0213,-0.8968,0.0067,-1.0144,0.3424,0.481
HOXC4,-0.0452,-0.1485,-0.9169,-0.0307,0.5019,0.2654,0.658,1.4884,1.9773,0.1053
CYTH1,-0.467,-0.2907,-0.1822,-0.1281,-0.7142,-1.4964,-0.6475,0.5694,-0.458,-0.2803
LOC391722,-0.869,0.1816,1.1547,-0.924,-0.1313,1.37,-0.8538,0.9971,1.0535,-0.6708
AI684479,-0.9852,-1.7291,0.3631,0.1456,0.5105,1.5879,-1.3631,-0.2259,-2.4853,-1.1358
MYO7A,0.6083,-0.5173,-0.5933,-0.3594,-0.7651,-0.4902,-0.4576,-0.9086,-0.0103,-1.0764
METTL21D,-0.9648,0.3065,-0.6032,0.2228,0.8996,-0.9564,-0.0937,0.2673,-0.8819,-0.9031
LHX9,-1.8125,-0.2926,-0.3059,-1.3146,-0.7004,-1.5826,-1.0629,-2.3318,0.4416,0.1228
GLOD5,1.6729,-0.6592,0.5613,-0.3132,-0.5129,0.2412,1.2128,0.5468,-0.762,0.6186
POLR2D,2.3282,2.0133,-0.8885,0.1453,0.2784,0.0978,0.2174,0.2371,1.793,0.8665
HDGFRP2,2.0812,1.1479,0.4641,0.0952,0.3395,0.3298,0.7443,-0.3248,0.1813,0.8361
ZNF611,-0.614,0.0621,0.5644,0.4085,0.4684,-0.5224,-0.3452,-1.0601,-0.4585,0.0512
AK127246,0.8755,-0.0213,-1.0221,1.1334,0.4376,1.2278,-2.4234,0.19,0.0514,-1.0232
LOC196394,-0.8974,0.7725,0.4661,-0.2876,-0.5103,0.938,0.7109,0.9977,-1.3938,-0.1642
PPFIBP2,-0.4081,0.3286,0.112,-0.0481,-0.5614,-0.8387,-0.0778,-1.696,-1.9718,-0.2251
BG205446,0.7386,0.9053,0.4326,0.0652,1.4754,-0.3828,-0.4444,0.6689,0.2432,-0.8461
TSPAN16,-0.6847,0.2751,0.6995,-0.0952,0.8032,0.1709,1.1966,-0.8259,-0.4028,0.3387
PCNA,0.1358,0.3222,-0.1087,0.375,1.1637,-0.727,-1.5986,0.9318,0.3986,-1.1295
AF070564,-0.7233,2.3886,0.5282,1.7637,-0.8142,-0.1165,-2.1396,1.235,-1.0394,-0.002
ADAMTS1,-1.2455,1.3772,-0.8319,-0.6852,-0.5937,-0.5692,1.169,4.1336,0.7855,1.3962
IKZF3,4.4197,-1.4186,-0.1965,0.3867,0.0956,-1.0364,0.4039,0.3994,-0.5795,-1.2336
FNDC1,-0.9404,1.3913,0.9847,1.1295,1.2219,-0.9323,-1.0162,-0.5429,-0.2316,-1.0455
AI393622,-0.0861,-0.5557,-0.3152,-0.0854,-0.7787,-0.4271,-0.6925,-0.352,1.1681,0.1519
AI939367,-0.8138,-0.0315,-1.0772,1.0401,0.803,-0.3238,-1.1401,-0.8794,-0.8509,0.7129
MTMR10,1.4736,-1.8379,0.9087,0.205,-0.7569,1.5141,-0.2524,2.0303,0.1911,0.8722
SEMA3A,0.4194,-2.1479,0.1569,-0.0305,-1.3164,0.3262,0.6395,-0.1138,-0.0458,-0.1672
AW297905,-1.7006,-3.0116,1.7217,1.379,0.1905,-1.6812,0.4017,-0.3068,-0.4151,0.0581
DEFB109,-0.0841,-1.1112,-1.2407,-0.2516,-0.6531,1.2101,0.2412,-0.0543,0.628,0.2574
RBBP6,-0.6875,-1.5152,-0.2642,-0.0709,-0.7017,0.397,0.0495,-0.2705,0.1365,-0.887
AW118655,-0.2573,0.8902,-0.8656,-1.7071,1.6651,-0.1085,0.46,0.813,0.4645,0.1742
BX090635,-1.9227,-1.4747,0.2495,0.0133,0.5751,-0.6996,0.9419,-0.7733,-1.8305,1.8437
KCNB1,-0.1206,0.0568,-0.3165,-0.1312,-0.3921,-0.7643,0.5694,-0.1582,-0.9211,0.1777
AI494374,-0.2302,-1.7788,-0.3179,-0.1283,-0.7061,1.6692,1.1808,0.5605,1.7018,-0.8379
ADAM19,-0.6718,0.5438,0.5917,-0.3777,0.346,-1.5509,-1.2769,-1.0174,0.4731,-1.182
GTF2H5,-1.0443,-2.7128,-1.8242,-0.2797,1.8943,1.2972,0.9792,0.1915,1.4402,1.7256
BSCL2,0.749,-1.8027,-0.1303,0.4685,-1.1734,0.9672,-0.6636,-0.506,-0.6579,-0.0316
BX117604,1.6384,-1.4966,-0.9331,0.6994,-1.2408,-0.5908,0.541,1.5671,-0.857,-0.8181
ABCB9,-0.0918,0.6544,0.7879,-0.4577,-2.1147,-0.7305,-1.6412,1.5979,-0.2515,0.0132
DGCR6,-0.1388,1.2136,1.3076,-0.2375,-0.5962,1.8775,0.5879,2.7749,-1.6858,0.2699
FYCO1,0.7947,-1.2273,-0.8519,0.1636,-0.3205,0.717,0.4185,-0.8262,-0.7685,0.7461
GAB3,-0.9811,-0.6971,-0.5751,0.0058,-0.9322,-0.789,-0.61,-0.442,-0.6124,-0.8201
AI041550,-0.3659,1.2061,-1.6723,0.6263,-0.1738,-1.628,0.1969,-1.1345,0.2818,-1.0464
DQ587763,1.3909,1.0291,0.2648,0.018,-0.8361,0.5616,0.2025,0.0879,-0.2347,-0.857
C4orf34,-1.2256,-0.0056,0.5315,0.9613,0.823,1.3643,0.8583,0.476,0.2606,0.6659
BTBD6,0.4663,0.0805,0.2891,0.3021,0.0082,-0.3873,0.0632,-0.1007,-1.5509,0.5234
CDKL1,0.2775,-0.7936,1.4126,-1.1341,-0.0959,-1.8174,-0.1413,-1.0238,-0.7735,-0.0023
ATP5EP2,-0.4209,-0.8603,-0.3845,-0.04,0.7776,-0.9136,0.1288,0.59,0.8347,0.338
GAGE12B,0.2768,0.0649,-0.3465,-0.3068,-0.2231,-0.2845,-0.0392,-0.0068,-0.1684,-0.4946
GABRA1,0.7801,0.1557,0.5242,-0.0807,0.254,0.2441,-0.2646,-0.8459,0.1867,0.4175
CLUL1,-0.495,-0.242,0.6981,-0.5839,1.5234,0.8164,1.5377,0.7612,0.1231,1.5237
ZNF529,-0.9875,5.1118,-0.8112,0.0273,0.7319,-0.8858,0.3557,-1.2482,-1.4262,-0.8239
DA533471,-1.5504,0.2813,-0.4405,0.0138,-1.0326,-0.7995,0.6068,0.5073,-0.7065,-0.9799
KRT79,-0.6181,-0.4171,-0.3907,-0.6601,0.3646,-0.169,0.2261,-0.5729,-0.1895,0.5806
AV707313,1.0279,1.0196,0.5594,0.4692,-0.255,-1.1151,-0.3248,0.7307,0.8153,0.8294
CHCHD5,0.589,-0.7107,-0.0598,1.0746,-0.444,1.572,-0.0552,0.6249,0.8969,0.7705
MOCS3,3.3755,0.8104,-1.2527,-0.1036,-0.0582,-0.6392,0.8929,0.6034,-0.6181,-0.5861
FDPS,-0.1132,1.2619,-1.0282,-0.3281,0.5315,-0.6208,-0.1856,-0.3331,-1.5127,-1.5782
FAM98C,1.1347,5.1336,1.1547,-0.4864,-0.3091,0.3229,0.1108,0.7478,-0.1956,1.3007
OXA1L,0.7356,-0.2391,1.1951,0.1397,0.3194,0.5271,0.5262,-0.6818,0.2754,0.8704
EFEMP1,-0.8866,-0.4498,1.2789,-0.371,0.5888,-0.7464,0.9003,0.2427,1.2145,1.4477
PTHLH,-0.5239,0.6903,0.1239,-0.136,0.1101,1.159,1.2649,-0.7574,2.0759,-0.4825
TYK2,-1.213,-1.0312,0.113,-1.2169,-1.9154,-1.2273,-0.7452,-1.2844,-0.0236,-0.7878
HAGHL,1.3602,1.5587,0.3941,-0.1605,0.6184,1.1082,-0.7232,0.0262,1.2203,-0.7302
SLC25A1,2.1687,1.8196,0.7824,-1.2399,-0.0346,-0.9922,-0.9697,2.4364,-0.3001,-0.1591
QDPR,-1.3382,-0.6931,0.6219,0.5183,-0.2202,0.9139,-0.3066,0.1924,-0.5137,1.3371
RPL23AP53,0.7777,-0.7587,0.5321,0.2447,1.1109,0.1492,-0.0311,-0.0221,-0.4639,-0.9073
ABHD2,0.7925,0.5207,-0.3315,-0.1233,-0.1045,0.5586,-0.0578,1.4192,-0.2633,-0.0447
TCF7L2,0.1877,0.8637,-0.4104,0.2043,1.2308,0.1333,0.8776,-1.3757,-1.8574,-0.9664
AY358241,-1.1406,-1.116,0.2732,-0.6617,-1.3127,-0.4168,0.896,-0.3973,-0.4684,-0.9318
PHTF1,-1.4655,-0.1339,-0.8232,0.3406,-0.7207,1.0613,-0.2267,0.4447,-0.5349,-0.2139
EMR4P,-0.1014,-0.0794,-1.1731,-1.5445,-0.5436,0.1038,-0.3209,0.6597,-0.0762,0.9521
FOXL1,-0.5197,-0.8077,-0.2291,-2.068,0.5727,0.532,-0.0705,-0.0101,0.2641,-1.1732
PDE2A,0.0603,-0.8117,-0.2316,-0.7061,0.352,-0.3848,0.3044,0.1888,-0.138,-1.0834
TRIM62,0.8476,1.4,0.2057,-0.1233,0.6615,0.3744,-0.0244,0.8379,-0.4002,-0.2202
EPHX1,1.2841,1.3934,0.2528,-0.7118,0.2835,1.8015,-1.1144,0.1874,-0.6327,0.1312
ACR,-0.4976,0.2143,0.1003,-0.0514,0.0309,-1.1979,-0.6795,0.3722,-0.3496,-0.0097
OR2AK2,-0.2504,1.7236,0.2397,0.3456,0.2524,1.6439,-0.2428,0.3134,-0.9943,0.7117
BM674483,2.1849,-0.0149,0.231,-0.663,0.1323,-0.5831,-1.4573,-0.1048,-1.5069,-1.7994
MFSD5,0.3242,0.2337,1.2058,0.4865,-1.2048,0.0675,-0.8078,1.7556,-0.2314,-0.7301
ATP2B4,0.4878,-0.2222,0.2956,-0.2448,-0.0038,-1.2844,0.0076,-1.5676,-0.0672,-1.467
BC047556,-0.4325,0.0619,0.1218,-0.3742,-1.5796,-1.1561,-0.9981,0.3203,-0.3043,0.6112
BG221792,0.6241,-0.3864,-0.029,-0.107,-0.1004,0.5259,-0.2069,-0.7469,-0.0137,-0.7819
RPL39L,0.7136,0.691,1.3219,-0.0389,1.5398,0.9275,0.2629,-2.0004,0.9227,0.5785
ANKRD10,-2.1001,-0.9728,-0.8126,0.3413,-0.4742,0.4194,1.4652,-0.6922,-0.4547,-0.8829
SCN11A,0.5118,0.691,-0.5341,-0.4861,-0.0391,-1.4209,0.5773,1.2964,0.4268,-0.0322
ARHGEF10,-2.6886,-0.9566,-0.0705,-0.4913,1.0961,0.7978,1.1244,-1.9542,-0.5827,-0.3397
DEFB103A,-0.6244,-0.9334,-0.2436,-0.9074,0.2666,0.1509,-0.2734,-0.3273,-0.6646,-0.1513
AA443439,0.3384,0.6379,-0.6708,1.3149,-0.6285,0.655,-0.1514,0.7495,1.014,-0.8352
BX111008,0.3107,-1.121,-0.5148,0.3235,-0.1211,0.2739,-0.1894,2.7697,0.0366,0.7702
NUDT19,-0.366,0.4807,0.674,0.0565,1.0735,-0.9403,-0.367,-1.384,0.0662,0.6917
DHX9,1.1455,1.0238,-0.1363,0.5963,1.0994,1.1481,0.6812,1.0204,2.0977,1.6213
ZNF436,-1.7398,-0.573,0.6541,-0.0585,0.5351,0.1877,0.6644,-1.3374,-1.2445,-0.1676
CC2D2A,-0.6947,-0.2357,-0.2189,0.353,1.1496,0.5561,1.4564,-1.6439,-0.2986,0.6685
LGALS7,-0.7311,-0.8435,-0.9148,-0.2908,-0.6348,-0.6397,1.0811,-0.6973,-0.3204,0.4685
UBE2D2,-0.6209,-0.8138,-0.1331,-0.4643,0.2152,-0.7784,-0.2295,-0.1844,-0.4518,-1.1363
CCDC158,-1.5544,0.5265,-3.2988,0.4069,0.7498,-0.0282,2.964,0.8051,0.0839,-1.3094
HDAC2,2.1136,1.1294,-1.2499,-0.2426,1.3358,0.4564,0.2766,-0.5378,1.4145,0.1372
CR743235,-0.9354,0.4877,-0.1542,-0.6019,-0.9593,-0.5011,-0.0659,0.7084,1.5953,0.9134
CCDC54,-2.1646,-1.2374,0.5662,-0.1392,0.1311,1.4759,0.6003,0.1913,-1.7117,-0.2794
DA572426,-0.0687,-0.5812,0.5427,-0.0773,-0.8621,-0.0468,0.6792,-0.7611,0.1985,0.233
PNLDC1,-0.712,-0.375,0.1269,-0.5611,-0.2824,-0.4842,0.0916,0.1708,-0.2018,0.7136
FBXW12,-0.2761,-0.4026,0.8881,-0.7488,0.1942,0.7674,0.1821,-0.7924,-0.5169,-0.2623
GJA1,-0.9823,-0.067,1.3789,1.9087,1.6986,2.1137,1.0669,-1.5699,1.1976,0.2513
MRPL39,0.9349,0.8343,-1.3639,0.4688,1.1007,0.1414,0.5823,0.7748,0.1558,1.1414
HTR2B,-0.8865,-0.5365,0.0799,0.912,2.1939,-0.0921,0.0742,1.4447,-0.1946,0.2264
DB343494,0.6316,0.7467,-1.0707,0.2134,-0.7412,0.9735,0.6492,1.0754,-0.8042,0.8118
C14orf177,-0.874,-0.043,-0.4884,0.1975,-0.6279,1.3827,-0.9043,1.1517,-0.1186,-1.1666
FLJ44606,-0.4783,-1.5066,0.2251,-0.5422,-2.0594,-0.6743,-0.7955,0.1313,0.1279,-0.004
NTNG1,-0.5383,1.9032,-0.0867,-0.8039,0.0345,0.4032,-0.6916,0.2116,-0.0891,1.9642
HOXD10,-0.0236,-1.0784,-1.0333,-0.492,0.306,0.2807,0.3407,-0.5209,-1.4032,-0.5324
OR6C76,0.4795,-0.5566,1.4852,2.1017,-0.9507,2.0595,0.741,2.6607,-0.2206,1.0165
DGKA,2.3499,-0.1368,0.1506,-0.9356,-0.7104,0.624,-0.2396,0.5197,-0.383,-0.7175
COPS8,-0.1175,0.0387,-0.0438,1.091,1.6121,0.1966,-0.7475,-0.5655,-1.1015,-1.5439
CK825060,0.48,-1.8787,0.4063,1.1324,-0.9747,0.5486,1.7755,2.5344,0.9249,0.6203
BX115603,-0.1661,-0.8579,-1.5201,-1.6155,-0.1885,-1.6204,-1.958,-1.2799,-0.0175,-1.5282
TCRBV20S1,-0.1749,0.294,-0.392,-0.0802,-1.0269,0.8275,0.1102,0.8425,-0.5669,-0.0414
AA587250,-1.3088,-1.9385,-2.7303,0.0454,-0.4465,0.4367,1.237,-1.5155,2.2987,0.1865
AI274930,-0.3058,1.0623,-0.6057,-0.2075,-0.1089,-0.1217,0.3053,-0.2494,-0.3101,-0.321
EXOC6B,0.2791,0.9461,-1.1224,-0.4517,1.0948,-1.2118,-0.5904,-0.1604,0.7768,-0.3346
CYBASC3,3.3048,0.3638,-0.7458,-0.7893,-0.3727,-0.757,-0.0543,-0.5162,-0.7404,-0.3991
BC042734,0.4891,1.8486,-1.768,0.6798,0.323,0.2507,-0.0536,-0.0768,0.829,-0.642
ERI2,-1.0171,-1.4686,-0.4378,0.8272,1.4471,1.1964,0.3472,0.8313,2.9127,1.0131
ACTR3,-0.2472,0.4286,-1.1193,0.1899,1.1215,0.1411,-1.4521,-0.5388,-0.7518,-1.5884
GLB1L3,0.7769,-0.2765,0.0415,1.3524,-0.7476,0.406,0.8094,-0.8396,0.6555,-1.014
FAM24B,0.5699,-0.1379,0.9714,-0.9561,-1.0917,-1.7639,-0.7073,1.0531,1.6422,0.7923
CCDC87,0.5019,-0.4372,0.9308,-0.472,-0.6409,-0.739,1.8042,2.0998,0.239,-0.7408
BC026298,0.3247,-0.2053,1.6192,-0.8856,-0.9327,0.5169,-1.4134,0.2941,0.297,-0.8092
BU561563,0.0283,1.0512,0.6402,0.5334,1.0231,0.4289,-1.2122,0.2791,-0.1006,-0.6354
RNF113A,-0.1513,-0.4238,0.0545,-0.3359,-1.6901,-0.7634,-0.9865,-1.3986,-2.1206,-0.6324
R3HCC1,-1.5255,-1.6998,-0.3261,-0.9896,-0.1211,-1.2029,-0.7779,-1.2177,-0.9853,-0.5866
NOP10,0.2987,0.5978,0.0761,0.2002,0.5225,-0.5972,-0.4762,0.2778,0.4234,0.9266
MRAS,-1.1276,0.1467,0.3418,-0.3265,-0.2768,-1.3586,0.2456,0.1006,-0.5457,-1.0036
BRPF1,1.5052,0.8087,-1.4047,-0.8348,-1.5776,-1.68,-0.0739,-1.0738,-0.2246,-0.9193
COMT,1.2012,0.1144,0.2495,-1.5424,-1.0599,-0.0341,0.1321,1.8804,-1.0472,1.0343
PLSCR3,-0.6755,0.5817,0.3693,-0.4775,0.4998,-0.5263,0.7998,-1.8254,0.0316,0.0759
MUC13,-0.2093,-0.2167,-0.1779,-0.3917,0.207,0.3696,-0.0309,0.3124,-0.4274,-0.2725
BG403648,-0.9102,-0.541,0.084,-1.3266,-1.1336,0.2742,0.1427,0.064,0.5173,-0.2252
AKR1CL1,-1.0577,0.3472,0.0859,-1.4789,-0.573,0.2416,0.632,0.6282,0.4294,-0.7469
BG184188,-1.2548,0.6058,0.4928,0.1208,1.2798,-0.7397,0.2515,-1.2766,-0.1137,1.5169
CHRFAM7A,0.7186,-0.8673,0.4817,1.7941,2.3281,0.7235,-0.5292,2.0721,-0.0967,-0.8869
BEST2,0.9826,-0.2517,2.1429,-0.4049,0.0369,-0.1071,0.3921,1.4637,-0.0081,-1.3179
AI352411,-1.5714,-2.3015,-0.0989,-1.1681,0.3441,-1.5763,0.514,-0.6481,-0.3671,0.6602
DDX52,-1.4294,-0.6102,-0.5249,0.6507,0.3693,-0.4506,-1.0756,0.3329,-1.0359,-1.067
GGT1,3.0131,3.5762,-0.2481,-0.5616,-0.2384,-0.2328,-0.5431,-1.1199,-0.9687,0.17
AW148686,-1.3289,0.6175,-0.1095,0.7645,-1.6477,-0.3905,-0.3342,1.2707,0.723,-1.4881
TIPIN,0.242,-0.9588,0.1013,0.1159,0.7273,-0.4434,-0.5197,0.251,-0.0002,-0.4936
PREP,2.6822,0.1702,-0.1223,-1.6104,0.0887,-1.1311,0.2882,-1.7948,-0.6644,-0.2832
SELL,-1.0155,-0.7777,-0.927,-0.4165,-1.2221,-0.9354,0.096,0.1783,0.4442,-0.5549
ACVR1,-0.6513,0.6491,1.1827,0.1267,0.527,0.2071,0.0111,-1.5254,-1.7274,-0.8155
CP,-0.6332,1.3906,-0.4754,-0.2757,-0.8503,-0.5468,-0.2228,-0.7657,0.0681,-0.2194
AW664841,-0.9144,-1.0227,-0.1657,-1.247,1.6301,-0.6316,-0.9173,0.1468,-0.6218,-0.1519
SIPA1L1,0.9783,-0.1106,0.1583,-0.7285,-1.3843,-0.433,-0.5286,-0.5551,0.2439,-1.6561
BQ189258,-0.1021,-0.452,-0.5127,-0.9509,0.3082,-0.6228,-0.1956,-1.4839,-0.9879,-1.1251
BC090855,0.428,0.4679,0.9522,0.334,-0.0062,-0.7487,0.8769,-1.1223,0.625,-0.4112
AI222174,2.2643,-1.1317,-0.8239,0.1216,-0.3806,-0.6573,-1.28,0.1279,0.1125,0.7592
SCGB1D1,-0.037,-0.5263,0.4629,0.952,0.4309,0.6871,-0.1145,1.5919,0.6526,0.844
PHF14,-1.0702,-0.5329,-1.4851,0.0434,0.678,-0.2812,-0.4377,-0.4609,-0.7473,-1.3181
RRAGB,-1.6479,-1.3006,-0.9126,0.2802,0.8147,-0.1997,0.2136,1.4464,0.3433,-0.0396
BG212295,0.0851,0.7105,-1.5416,0.4114,-1.3404,0.5834,-0.3824,2.317,0.5612,-0.0551
PHOX2B,-2.1175,-0.1789,0.5092,-1.5203,-1.0946,-0.7502,1.2549,0.9289,1.6239,0.1276
CUX1,0.5556,0.5134,-1.5959,-0.5709,-0.2952,-1.3742,-1.4143,-0.726,-0.0552,-0.1504
RC3H1,1.0235,-1.2736,0.5599,1.3549,-0.0013,1.548,-0.2024,1.4773,0.1237,0.247
COBRA1,1.2682,1.4848,0.2018,-0.3996,-0.88,0.0379,0.5992,-1.3694,1.3964,0.5243
AI288441,0.2878,-0.1253,-0.5725,0.2253,0.6575,-0.5692,-1.5174,0.9206,-0.0682,0.3294
STAT5B,0.1769,-1.0128,-1.085,-0.2523,-0.3199,0.2412,1.2561,0.7156,0.1096,-0.8997
DB341552,0.8663,1.3743,0.2144,-0.8006,-0.8958,0.0246,0.0887,1.4305,1.8261,1.2786
MEX3B,-0.4774,2.0447,0.6763,-0.2971,1.2427,-0.6633,0.9005,-1.1208,0.094,0.6363
C2orf81,0.4594,-1.019,0.1997,0.3449,-0.2692,0.6973,0.1151,0.5308,-0.4526,-0.3985
INO80D,-0.1312,-1.0729,-1.1209,-1.4537,-0.8631,-1.5198,1.1227,-2.0111,-0.3799,0.0702
AB074273,1.8264,0.1047,-0.7131,1.1364,0.4417,-0.3706,-0.8148,1.4016,0.1295,-0.8463
BDKRB1,-0.7683,-0.2638,0.6076,0.1738,-0.9505,-0.5533,-0.4042,0.2675,0.8191,-0.8789
EXD1,0.6424,0.8676,-0.0579,-0.9469,-0.594,1.3383,0.1721,1.2594,0.2896,-0.7373
CCDC117,-0.4697,-0.7324,-0.4866,-0.2387,-0.4825,-0.2961,-0.0572,3.3734,-0.2583,-0.3609
RB1CC1,-1.2752,-0.2061,-0.6111,-0.8403,-2.2042,0.9957,-1.6949,0.162,-0.8705,1.2726
FAM153C,-1.2124,0.7329,0.0804,-0.8047,0.3519,-0.0476,0.1206,-0.2402,0.0116,-0.2851
SEZ6,-0.075,-0.5315,0.0983,-0.2543,-0.0684,-0.0797,-0.1719,0.1486,-0.3938,-0.2395
CENPT,0.0852,-1.0724,-0.3305,-1.0615,-0.5367,-1.2128,0.3937,-0.4912,-1.1334,-1.4568
LOC440040,-0.2815,-1.6967,-0.5107,0.5442,0.6919,0.0162,0.1321,0.232,1.5307,-0.1458
DY655543,-0.1441,0.0734,-0.5447,1.1485,1.7552,-0.2976,0.1037,-0.9994,-0.1768,-0.85
WFDC5,-0.029,0.7393,-0.181,-0.0919,0.6194,0.6659,-0.6444,0.0726,-0.2858,1.8814
PLCD4,-0.4129,-0.7856,-0.8698,-0.0784,-0.7886,-0.3174,-0.69,0.0228,-0.2706,-0.2568
PDGFRA,-0.9688,0.1828,-0.6173,-0.0594,1.8473,-1.3723,0.9304,-0.7151,-0.699,-0.9922
AW780056,-0.4544,-1.54,-0.0751,0.5698,0.2537,-1.3775,0.5501,0.6458,0.4326,-0.1363
AW004038,0.7476,-0.0556,0.9171,-0.6323,-0.1039,0.1178,-0.3452,1.3041,-2.0957,-0.3312
AA021278,-1.1995,-1.1492,-0.6589,0.4314,-0.2844,-0.5883,0.394,0.7135,0.1879,-0.1721
